facility_type,encounter_type,North,South,West
Hospital,Emergency,0,127,0
Hospital,Inpatient,0,95,0
Hospital,Lab,0,100,0
Hospital,Office Visit,0,85,0
Hospital,Outpatient Procedure,0,102,0
Specialty Center,Emergency,0,236,182
Specialty Center,Inpatient,0,210,191
Specialty Center,Lab,0,211,180
Specialty Center,Office Visit,0,175,200
Specialty Center,Outpatient Procedure,0,194,193
Urgent Care,Emergency,109,190,195
Urgent Care,Inpatient,90,190,201
Urgent Care,Lab,90,229,228
Urgent Care,Office Visit,112,178,200
Urgent Care,Outpatient Procedure,109,183,215
